iter	RMSE
182	5.719358306
183	5.701046847
184	5.677563557
185	5.657172923
186	5.641252009
187	5.627547607
188	5.614832417
189	5.601380791
190	5.595523327
191	5.572573915
192	5.558211564
193	5.540482307
194	5.515528004
195	5.495939884
196	5.472415297
197	5.459296329
198	5.435492724
199	5.411409249
200	5.393422847
201	5.366626813
202	5.34850487
203	5.333961112
204	5.30737505
205	5.293981969
206	5.267787188
207	5.25674677
208	5.239583221
209	5.223654569
210	5.2093459
211	5.197344927
212	5.183524306
213	5.174548231
214	5.160768009
215	5.142586465
216	5.126958341
217	5.112577208
218	5.10329591
219	5.094239274
220	5.077530677
221	5.065007619
222	5.045843805
223	5.022850621
224	5.005405896
225	4.993287729
226	4.97888587
227	4.962310405
228	4.946590958
229	4.935051492
230	4.918333878
231	4.893306526
232	4.879593683
233	4.862762224
234	4.839225767
235	4.823583061
236	4.808103856
237	4.795017915
238	4.789457761
239	4.772536178
240	4.764354239
241	4.757175487
242	4.74211671
243	4.731803344
244	4.71179876
245	4.706592396
246	4.698512154
247	4.687969645
248	4.678499905
249	4.666210128
250	4.652980055
251	4.632412316
252	4.619507673
253	4.609967153
254	4.599342574
255	4.57273619
256	4.550967721
257	4.541047517
258	4.525154723
259	4.507073907
260	4.489894581
261	4.477191252
262	4.466137525
263	4.460151323
264	4.451676154
265	4.433405378
266	4.428831106
267	4.415413557
268	4.407608814
269	4.394295225
270	4.38918535
271	4.368455307
272	4.357675182
273	4.343822586
274	4.333046254
275	4.310235585
276	4.291006472
277	4.278843992
278	4.272088415
279	4.252926569
280	4.241324515
281	4.227731417
282	4.211948403
283	4.197263824
284	4.183954884
285	4.176488272
286	4.165691871
287	4.151886316
288	4.143900501
289	4.135862395
290	4.121528983
291	4.108750731
292	4.094891328
293	4.081751139
294	4.067596892
295	4.053340343
296	4.038751028
297	4.033442427
298	4.023666831
299	4.012064568
300	4.002078611
301	3.988835752
302	3.979471238
303	3.972705027
304	3.959222545
305	3.940743853
306	3.927867606
307	3.915380347
308	3.904680528
309	3.89505038
310	3.88979219
311	3.877528882
312	3.871412504
313	3.865068504
314	3.860140932
315	3.847575931
316	3.833539045
317	3.822628576
318	3.81693793
319	3.804815107
320	3.79543598
321	3.783741002
322	3.777313696
323	3.76571382
324	3.751079489
325	3.737828136
326	3.71728374
327	3.704518045
328	3.686984232
329	3.683263334
330	3.67889304
331	3.673893937
332	3.665949044
333	3.660428864
334	3.647130281
335	3.63834685
336	3.623093484
337	3.611995145
338	3.605437531
339	3.595754474
340	3.591244002
341	3.582688606
342	3.578194496
343	3.561908251
344	3.555678031
345	3.546220414
346	3.539109586
347	3.528800798
348	3.523646429
349	3.519854631
350	3.505975929
351	3.493738589
352	3.483067409
353	3.475756053
354	3.472041284
355	3.466624522
356	3.453732965
357	3.442782999
358	3.433651245
359	3.423281391
360	3.419137939
361	3.411184818
362	3.395582727
363	3.386913355
364	3.375623695
365	3.365906352
366	3.354343669
367	3.351360521
368	3.343587539
369	3.334842679
370	3.326253577
371	3.315719164
372	3.31141643
373	3.302023502
374	3.297146119
375	3.292031412
376	3.28597752
377	3.280905638
378	3.269396107
379	3.26572035
380	3.25305274
381	3.243152485
382	3.240812231
383	3.232699194
384	3.226378356
385	3.225791988
386	3.213025656
387	3.206129101
388	3.203138233
389	3.193554218
390	3.188388554
391	3.180784711
392	3.17540394
393	3.172209314
394	3.165389259
395	3.158303326
396	3.150915524
397	3.146083951
398	3.134785152
399	3.130386453
400	3.124930647
401	3.11966321
402	3.107778825
403	3.097985865
404	3.085579681
405	3.075055208
406	3.063629866
407	3.057587564
408	3.054138666
409	3.044770548
410	3.040613897
411	3.032127979
412	3.024611929
413	3.018403238
414	3.011162484
415	2.999961254
416	2.996808653
417	2.984230521
418	2.982818888
419	2.980316962
420	2.975706848
421	2.972780014
422	2.970928036
423	2.963756508
424	2.954268599
425	2.945299253
426	2.941320179
427	2.934855894
428	2.921386751
429	2.911201378
430	2.90535869
431	2.897910013
432	2.891728362
433	2.881522675
434	2.876374504
435	2.869580985
436	2.867829919
437	2.864869445
438	2.862120535
439	2.856331682
440	2.848333367
441	2.841438279
442	2.837198825
443	2.826471434
444	2.814340386
445	2.808538648
446	2.796804481
447	2.791046531
448	2.787565495
449	2.779086028
450	2.770967512
451	2.765031875
452	2.759790602
453	2.754132988
454	2.749100093
455	2.746226467
456	2.736942491
457	2.731065433
458	2.724339607
459	2.71988166
460	2.710584371
461	2.701594969
462	2.69452999
463	2.694074862
464	2.693616296
465	2.68390926
466	2.67862116
467	2.675023251
468	2.671311272
469	2.664406682
470	2.658043649
471	2.653493313
472	2.648206495
473	2.642334653
474	2.634589207
475	2.629873496
476	2.622826337
477	2.616986974
478	2.613932899
479	2.608261926
480	2.601682782
481	2.594563706
482	2.58742153
483	2.585003479
484	2.584642208
485	2.581352883
486	2.578004978
487	2.572443697
488	2.568216177
489	2.561612074
490	2.557630499
491	2.549586805
492	2.540920984
493	2.538335854
494	2.533470201
495	2.529300164
496	2.521598506
497	2.516723549
498	2.511224038
499	2.507405569
500	2.501305786
501	2.494342892
502	2.491657946
503	2.486906465
504	2.481857837
505	2.479610075
506	2.476395882
507	2.474171256
508	2.470715913
509	2.466515782
510	2.464449607
511	2.458779732
512	2.455930816
513	2.454813535
514	2.44859345
515	2.445215746
516	2.44051516
517	2.436156612
518	2.431116376
519	2.427415343
520	2.42277696
521	2.418307654
522	2.417645014
523	2.413158794
524	2.406048687
525	2.40297053
526	2.398805544
527	2.397156259
528	2.391248959
529	2.388080057
530	2.385114416
531	2.384283592
532	2.378815856
533	2.376767876
534	2.374212755
535	2.372048279
536	2.367614214
537	2.362464572
538	2.355854314
539	2.351470189
540	2.345840031
541	2.342534418
542	2.33690874
543	2.333639003
544	2.331425912
545	2.328038735
546	2.324354707
547	2.320770283
548	2.317609207
549	2.312004299
550	2.309535912
551	2.306137385
552	2.301336571
553	2.296461701
554	2.290866004
555	2.285778386
556	2.285428518
557	2.280685676
558	2.276072401
559	2.272341998
560	2.267432211
561	2.263788582
562	2.260537567
563	2.25894065
564	2.2536683
565	2.25105537
566	2.250803607
567	2.246872132
568	2.241651749
569	2.237664944
570	2.232720079
571	2.228814783
572	2.225292289
573	2.223751529
574	2.21810097
575	2.214834545
576	2.21332861
577	2.207921066
578	2.203522536
579	2.202020925
580	2.201834197
581	2.196858934
582	2.195573826
583	2.192807621
584	2.191667567
585	2.186176677
586	2.183688297
587	2.183321059
588	2.181828969
589	2.178596363
590	2.177104295
591	2.171216198
592	2.165279028
593	2.162425262
594	2.159379467
595	2.155142666
596	2.15269429
597	2.147832962
598	2.14429968
599	2.141805853
600	2.135767403
601	2.135536436
602	2.13210433
603	2.131096496
604	2.129830415
605	2.125777861
606	2.121796689
607	2.118613903
608	2.112872843
609	2.106237677
610	2.102037375
611	2.098292156
612	2.092927995
613	2.087635756
614	2.08742574
615	2.086385999
616	2.082250394
617	2.075972847
618	2.073582656
619	2.0698831
620	2.066298872
621	2.059807283
622	2.056409409
623	2.05536897
624	2.054006409
625	2.052124794
626	2.046416259
627	2.043034538
628	2.04028717
629	2.036428542
630	2.03394431
631	2.028554182
632	2.023600596
633	2.020383012
634	2.018687666
635	2.014696279
636	2.013404964
637	2.00919697
638	2.007494962
639	2.005960548
640	2.00050898
641	1.995070973
642	1.992861364
643	1.992687099
644	1.986667872
645	1.984630204
646	1.97987533
647	1.978504916
648	1.975211383
649	1.97139258
650	1.966845594
651	1.965069619
652	1.963506511
653	1.95937055
654	1.956698659
655	1.954757282
656	1.95352603
657	1.953184231
658	1.950716671
659	1.949960839
660	1.948815228
661	1.945627087
662	1.945534342
663	1.941104279
664	1.938198667
665	1.937183051
666	1.936402675
667	1.933713018
668	1.929900445
669	1.924998303
670	1.921797338
671	1.918673607
672	1.913941391
673	1.909146741
674	1.904912681
675	1.900358858
676	1.896855006
677	1.892133888
678	1.891993999
679	1.887359707
680	1.883618356
681	1.878796167
682	1.875567892
683	1.874567776
684	1.874248843
685	1.874051982
686	1.871030498
687	1.870702206
688	1.868525638
689	1.86570882
690	1.862194349
691	1.857009906
692	1.853698619
693	1.848724718
694	1.844415492
695	1.840688254
696	1.837252355
697	1.836425518
698	1.833971687
699	1.830999235
700	1.826820522
701	1.824143343
702	1.820720999
703	1.813482873
704	1.809701427
705	1.803490771
706	1.79881258
707	1.795550248
708	1.793026632
709	1.792840181
710	1.789714017
711	1.787677047
712	1.786055947
713	1.783275095
714	1.780296048
715	1.780025185
716	1.777227957
717	1.770155607
718	1.765445546
719	1.765251315
720	1.76040961
721	1.759455283
722	1.757922139
723	1.75773774
724	1.756214777
725	1.751824164
726	1.749246543
727	1.747187628
728	1.743460726
729	1.740665845
730	1.737205335
731	1.734435034
732	1.732633487
733	1.730099662
734	1.726018458
735	1.724194197
736	1.721261759
737	1.720628923
738	1.716594022
739	1.712664023
740	1.708392896
741	1.705026654
742	1.703804711
743	1.701737993
744	1.70058549
745	1.698450586
746	1.6936329
747	1.6914118
748	1.689315323
749	1.685079491
750	1.681573427
751	1.679001709
752	1.67672252
753	1.673855437
754	1.669376739
755	1.667021563
756	1.664704164
757	1.662793663
758	1.660730681
759	1.659389499
760	1.657146898
761	1.656478904
762	1.65456366
763	1.649878024
764	1.646450326
765	1.644396109
766	1.644030728
767	1.640215277
768	1.637191111
769	1.633418848
770	1.631658737
771	1.626807942
772	1.622781945
773	1.618270129
774	1.616408262
775	1.613995847
776	1.611750224
777	1.609432597
778	1.607639762
779	1.605756846
780	1.602793204
781	1.600269777
782	1.597435927
783	1.59643095
784	1.592960136
785	1.59228396
786	1.58935059
787	1.586641382
788	1.58380551
789	1.582069508
790	1.576797634
791	1.574020097
792	1.572844829
793	1.570734757
794	1.569515096
795	1.569375736
796	1.566364711
797	1.565810971
798	1.563585999
799	1.56020979
800	1.559319803
801	1.555215655
802	1.551706056
803	1.549140527
804	1.548990941
805	1.545189794
806	1.543903543
807	1.541677397
808	1.53901204
809	1.536885049
810	1.53460107
811	1.533191734
812	1.530078752
813	1.52779091
814	1.526028401
815	1.523702012
816	1.519229726
817	1.51655627
818	1.514748216
819	1.511791769
820	1.50824584
821	1.50608177
822	1.503141026
823	1.500642448
824	1.496977114
825	1.492516487
826	1.491149379
827	1.48745126
828	1.486791764
829	1.484659644
830	1.481034277
831	1.480599388
832	1.477809037
833	1.47511271
834	1.472035874
835	1.470537294
836	1.467353337
837	1.46678987
838	1.464938502
839	1.462280805
840	1.460569664
841	1.459788227
842	1.458086811
843	1.456638696
844	1.454623713
845	1.452239766
846	1.450064307
847	1.446880712
848	1.443234208
849	1.439297267
850	1.436704684
851	1.435391671
852	1.433256749
853	1.431656059
854	1.428668057
855	1.426274286
856	1.423484418
857	1.421797794
858	1.42013216
859	1.417751556
860	1.416395681
861	1.414314975
862	1.41126784
863	1.409946631
864	1.409807088
865	1.406881424
866	1.404363988
867	1.401433672
868	1.397894872
869	1.395744509
870	1.391958735
871	1.389972909
872	1.3885868
873	1.385503899
874	1.382379468
875	1.379553084
876	1.378094023
877	1.376501206
878	1.375847835
879	1.375031599
880	1.370669503
881	1.368529944
882	1.367094686
883	1.362211915
884	1.359932358
885	1.358696045
886	1.356593444
887	1.354104773
888	1.352604041
889	1.350614564
890	1.348018931
891	1.346942649
892	1.345151436
893	1.343717555
894	1.340163093
895	1.336552528
896	1.332603953
897	1.328220256
898	1.324612657
899	1.323501226
900	1.322771967
901	1.321935969
902	1.319658355
903	1.317538567
904	1.316204081
905	1.314510224
906	1.311512964
907	1.309652148
908	1.307586332
909	1.305735162
910	1.303795677
911	1.300717158
912	1.299079108
913	1.29765466
914	1.295445073
915	1.293183191
916	1.290447787
917	1.287525707
918	1.28702915
919	1.285197774
920	1.282877904
921	1.280716635
922	1.279136318
923	1.27668648
924	1.27561439
925	1.274346857
926	1.273153244
927	1.270650986
928	1.26865631
929	1.267321254
930	1.266478852
931	1.265342322
932	1.265260727
933	1.263995067
934	1.260999852
935	1.259482241
936	1.257525811
937	1.256191522
938	1.25371619
939	1.25321362
940	1.251257196
941	1.247913879
942	1.246670433
943	1.244968386
944	1.24336293
945	1.240467152
946	1.238867894
947	1.236767533
948	1.233851275
949	1.232647722
950	1.230662184
951	1.227373403
952	1.225445214
953	1.224290444
954	1.223009974
955	1.220562009
956	1.219942498
957	1.218093116
958	1.214992151
959	1.21262225
960	1.210444141
961	1.207731278
962	1.20553808
963	1.204418391
964	1.203843638
965	1.201809745
966	1.198280367
967	1.196378164
968	1.195453541
969	1.193301549
970	1.189666097
971	1.188252811
972	1.185904628
973	1.184631767
974	1.182059088
975	1.179086381
976	1.177845487
977	1.176374231
978	1.174601623
979	1.172866487
980	1.171402587
981	1.168693434
982	1.166513316
983	1.163695604
984	1.162324558
985	1.159435205
986	1.157455549
987	1.156695091
988	1.155464892
989	1.153229379
990	1.151590366
991	1.149983799
992	1.147108902
993	1.145651849
994	1.143596033
995	1.140095694
996	1.13782335
997	1.135517212
998	1.134477339
999	1.132326135
